原始样本索引,标签ID,类别名称
0,0,alt.atheism
1,0,alt.atheism
2,0,alt.atheism
3,0,alt.atheism
4,0,alt.atheism
5,0,alt.atheism
6,0,alt.atheism
7,0,alt.atheism
8,0,alt.atheism
9,0,alt.atheism
10,0,alt.atheism
11,0,alt.atheism
12,0,alt.atheism
13,0,alt.atheism
14,0,alt.atheism
15,0,alt.atheism
16,0,alt.atheism
17,0,alt.atheism
18,0,alt.atheism
19,0,alt.atheism
20,0,alt.atheism
21,0,alt.atheism
22,0,alt.atheism
23,0,alt.atheism
24,0,alt.atheism
25,0,alt.atheism
26,0,alt.atheism
27,0,alt.atheism
28,0,alt.atheism
29,0,alt.atheism
30,0,alt.atheism
31,0,alt.atheism
32,0,alt.atheism
33,0,alt.atheism
34,0,alt.atheism
35,0,alt.atheism
36,0,alt.atheism
37,0,alt.atheism
38,0,alt.atheism
39,0,alt.atheism
40,0,alt.atheism
41,0,alt.atheism
42,0,alt.atheism
43,0,alt.atheism
44,0,alt.atheism
45,0,alt.atheism
46,0,alt.atheism
47,0,alt.atheism
48,0,alt.atheism
49,0,alt.atheism
50,0,alt.atheism
51,0,alt.atheism
52,0,alt.atheism
53,0,alt.atheism
54,0,alt.atheism
55,0,alt.atheism
56,0,alt.atheism
57,0,alt.atheism
58,0,alt.atheism
59,0,alt.atheism
60,0,alt.atheism
61,0,alt.atheism
62,0,alt.atheism
63,0,alt.atheism
64,0,alt.atheism
65,0,alt.atheism
66,0,alt.atheism
67,0,alt.atheism
68,0,alt.atheism
69,0,alt.atheism
70,0,alt.atheism
71,0,alt.atheism
72,0,alt.atheism
73,0,alt.atheism
74,0,alt.atheism
75,0,alt.atheism
76,0,alt.atheism
77,0,alt.atheism
78,0,alt.atheism
79,0,alt.atheism
80,0,alt.atheism
81,0,alt.atheism
82,0,alt.atheism
83,0,alt.atheism
84,0,alt.atheism
85,0,alt.atheism
86,0,alt.atheism
87,0,alt.atheism
88,0,alt.atheism
89,0,alt.atheism
90,0,alt.atheism
91,0,alt.atheism
92,0,alt.atheism
93,0,alt.atheism
94,0,alt.atheism
95,0,alt.atheism
96,0,alt.atheism
97,0,alt.atheism
98,0,alt.atheism
99,0,alt.atheism
100,0,alt.atheism
101,0,alt.atheism
102,0,alt.atheism
103,0,alt.atheism
104,0,alt.atheism
105,0,alt.atheism
106,0,alt.atheism
107,0,alt.atheism
108,0,alt.atheism
109,0,alt.atheism
110,0,alt.atheism
111,0,alt.atheism
112,0,alt.atheism
113,0,alt.atheism
114,0,alt.atheism
115,0,alt.atheism
116,0,alt.atheism
117,0,alt.atheism
118,0,alt.atheism
119,0,alt.atheism
120,0,alt.atheism
121,0,alt.atheism
122,0,alt.atheism
123,0,alt.atheism
124,0,alt.atheism
125,0,alt.atheism
126,0,alt.atheism
127,0,alt.atheism
128,0,alt.atheism
