训练样本索引,标签ID,类别名称
0,5,comp.windows.x
1,11,sci.crypt
2,1,comp.graphics
3,13,sci.med
4,9,rec.sport.baseball
5,9,rec.sport.baseball
6,17,talk.politics.mideast
7,18,talk.politics.misc
8,15,soc.religion.christian
9,18,talk.politics.misc
10,13,sci.med
11,11,sci.crypt
12,12,sci.electronics
13,3,comp.sys.ibm.pc.hardware
14,13,sci.med
15,17,talk.politics.mideast
16,1,comp.graphics
17,5,comp.windows.x
18,8,rec.motorcycles
19,15,soc.religion.christian
20,11,sci.crypt
21,16,talk.politics.guns
22,6,misc.forsale
23,18,talk.politics.misc
24,8,rec.motorcycles
25,4,comp.sys.mac.hardware
26,16,talk.politics.guns
27,15,soc.religion.christian
28,12,sci.electronics
29,2,comp.os.ms-windows.misc
30,5,comp.windows.x
31,17,talk.politics.mideast
32,16,talk.politics.guns
33,7,rec.autos
34,5,comp.windows.x
35,9,rec.sport.baseball
36,7,rec.autos
37,10,rec.sport.hockey
38,14,sci.space
39,9,rec.sport.baseball
40,9,rec.sport.baseball
41,18,talk.politics.misc
42,19,talk.religion.misc
43,10,rec.sport.hockey
44,8,rec.motorcycles
45,12,sci.electronics
46,18,talk.politics.misc
47,2,comp.os.ms-windows.misc
48,4,comp.sys.mac.hardware
49,13,sci.med
50,8,rec.motorcycles
51,12,sci.electronics
52,19,talk.religion.misc
53,1,comp.graphics
54,12,sci.electronics
55,10,rec.sport.hockey
56,9,rec.sport.baseball
57,18,talk.politics.misc
58,5,comp.windows.x
59,5,comp.windows.x
60,14,sci.space
61,12,sci.electronics
62,11,sci.crypt
63,8,rec.motorcycles
64,0,alt.atheism
65,1,comp.graphics
66,3,comp.sys.ibm.pc.hardware
67,15,soc.religion.christian
68,2,comp.os.ms-windows.misc
69,13,sci.med
70,5,comp.windows.x
71,10,rec.sport.hockey
72,17,talk.politics.mideast
73,10,rec.sport.hockey
74,11,sci.crypt
75,12,sci.electronics
76,18,talk.politics.misc
77,8,rec.motorcycles
78,7,rec.autos
79,9,rec.sport.baseball
80,11,sci.crypt
81,7,rec.autos
82,14,sci.space
83,19,talk.religion.misc
84,2,comp.os.ms-windows.misc
85,7,rec.autos
86,9,rec.sport.baseball
87,12,sci.electronics
88,18,talk.politics.misc
89,17,talk.politics.mideast
90,17,talk.politics.mideast
91,14,sci.space
92,11,sci.crypt
93,15,soc.religion.christian
94,13,sci.med
95,3,comp.sys.ibm.pc.hardware
96,7,rec.autos
97,6,misc.forsale
98,3,comp.sys.ibm.pc.hardware
99,14,sci.space
100,7,rec.autos
101,13,sci.med
102,11,sci.crypt
103,4,comp.sys.mac.hardware
104,7,rec.autos
105,3,comp.sys.ibm.pc.hardware
106,4,comp.sys.mac.hardware
107,18,talk.politics.misc
108,4,comp.sys.mac.hardware
109,12,sci.electronics
110,0,alt.atheism
111,4,comp.sys.mac.hardware
112,1,comp.graphics
113,19,talk.religion.misc
114,12,sci.electronics
115,4,comp.sys.mac.hardware
116,17,talk.politics.mideast
117,3,comp.sys.ibm.pc.hardware
118,5,comp.windows.x
119,10,rec.sport.hockey
120,19,talk.religion.misc
121,1,comp.graphics
122,6,misc.forsale
123,10,rec.sport.hockey
124,11,sci.crypt
125,2,comp.os.ms-windows.misc
126,18,talk.politics.misc
127,4,comp.sys.mac.hardware
128,1,comp.graphics
129,10,rec.sport.hockey
130,9,rec.sport.baseball
131,4,comp.sys.mac.hardware
132,3,comp.sys.ibm.pc.hardware
133,16,talk.politics.guns
134,16,talk.politics.guns
135,1,comp.graphics
136,3,comp.sys.ibm.pc.hardware
137,18,talk.politics.misc
138,6,misc.forsale
139,9,rec.sport.baseball
140,13,sci.med
141,17,talk.politics.mideast
142,15,soc.religion.christian
143,7,rec.autos
144,15,soc.religion.christian
145,13,sci.med
146,6,misc.forsale
147,10,rec.sport.hockey
148,2,comp.os.ms-windows.misc
149,4,comp.sys.mac.hardware
150,5,comp.windows.x
151,17,talk.politics.mideast
152,2,comp.os.ms-windows.misc
153,2,comp.os.ms-windows.misc
154,16,talk.politics.guns
155,17,talk.politics.mideast
156,3,comp.sys.ibm.pc.hardware
157,6,misc.forsale
158,5,comp.windows.x
159,9,rec.sport.baseball
160,8,rec.motorcycles
161,17,talk.politics.mideast
162,16,talk.politics.guns
163,6,misc.forsale
164,14,sci.space
165,18,talk.politics.misc
166,1,comp.graphics
167,12,sci.electronics
168,4,comp.sys.mac.hardware
169,6,misc.forsale
170,5,comp.windows.x
171,18,talk.politics.misc
172,13,sci.med
173,16,talk.politics.guns
174,15,soc.religion.christian
175,1,comp.graphics
176,19,talk.religion.misc
177,11,sci.crypt
178,8,rec.motorcycles
179,8,rec.motorcycles
180,3,comp.sys.ibm.pc.hardware
181,19,talk.religion.misc
182,9,rec.sport.baseball
183,8,rec.motorcycles
184,4,comp.sys.mac.hardware
185,9,rec.sport.baseball
186,9,rec.sport.baseball
187,10,rec.sport.hockey
188,4,comp.sys.mac.hardware
189,1,comp.graphics
190,10,rec.sport.hockey
191,4,comp.sys.mac.hardware
192,11,sci.crypt
193,16,talk.politics.guns
194,9,rec.sport.baseball
195,2,comp.os.ms-windows.misc
196,1,comp.graphics
197,17,talk.politics.mideast
198,7,rec.autos
199,12,sci.electronics
200,15,soc.religion.christian
201,6,misc.forsale
202,2,comp.os.ms-windows.misc
203,14,sci.space
204,18,talk.politics.misc
205,7,rec.autos
206,5,comp.windows.x
207,14,sci.space
208,18,talk.politics.misc
209,1,comp.graphics
210,14,sci.space
211,7,rec.autos
212,11,sci.crypt
213,3,comp.sys.ibm.pc.hardware
214,14,sci.space
215,10,rec.sport.hockey
216,0,alt.atheism
217,18,talk.politics.misc
218,13,sci.med
219,11,sci.crypt
220,19,talk.religion.misc
221,16,talk.politics.guns
222,11,sci.crypt
223,10,rec.sport.hockey
224,9,rec.sport.baseball
225,0,alt.atheism
226,0,alt.atheism
227,11,sci.crypt
228,5,comp.windows.x
229,2,comp.os.ms-windows.misc
230,14,sci.space
231,4,comp.sys.mac.hardware
232,6,misc.forsale
233,9,rec.sport.baseball
234,2,comp.os.ms-windows.misc
235,14,sci.space
236,1,comp.graphics
237,9,rec.sport.baseball
238,4,comp.sys.mac.hardware
239,1,comp.graphics
240,6,misc.forsale
241,10,rec.sport.hockey
242,0,alt.atheism
243,11,sci.crypt
244,18,talk.politics.misc
245,2,comp.os.ms-windows.misc
246,17,talk.politics.mideast
247,18,talk.politics.misc
248,3,comp.sys.ibm.pc.hardware
249,3,comp.sys.ibm.pc.hardware
250,9,rec.sport.baseball
251,15,soc.religion.christian
252,10,rec.sport.hockey
253,5,comp.windows.x
254,13,sci.med
255,3,comp.sys.ibm.pc.hardware
256,0,alt.atheism
257,13,sci.med
258,5,comp.windows.x
259,17,talk.politics.mideast
260,12,sci.electronics
261,15,soc.religion.christian
262,12,sci.electronics
